Name,RBICS_id,Entity_Type,RBICS_Level
Alarm Systems Manufacturing,551510151015,RBICS_IG,6
Alcoholic Beverage Production,5015151010,RBICS_IG,5
All Apparel Retail,202510201510,RBICS_IG,6
Allergies Biopharmaceuticals,35101510,RBICS_IG,4
Alternative Energy Car Manufacturers,202010151020,RBICS_IG,6
Alternative Exchanges and ECNs,302010252510,RBICS_IG,6
Alternative Investment Managers,3020101010,RBICS_IG,5
Alumina Refineries,451510201010,RBICS_IG,6
Alumina and Aluminum Products Manufacturing,4515102010,RBICS_IG,5
Aluminum Manufacturing,451510201015,RBICS_IG,6
Ambulance (Transportation),3515153010,RBICS_IG,5
Ambulatory and Outpatient Care,3515153015,RBICS_IG,5
Ambulatory and Outpatient Diagnostic Patient Care,35151515,RBICS_IG,4
Americas (Excluding US) Department Stores,5010151010,RBICS_IG,5
Americas Banks,30101010,RBICS_IG,4
Americas Coal Mining,25101010,RBICS_IG,4
Americas Fossil Fuel Exploration and Production,25101510,RBICS_IG,4
Americas Gold Mining,4515252010,RBICS_IG,5
Americas Investment Banking and Corporate Finance,3020101510,RBICS_IG,5
Americas Natural Gas Utilities,651010151010,RBICS_IG,6
Americas Petroleum Refineries,2515101510,RBICS_IG,5
Americas Water Utilities,651015101010,RBICS_IG,6
Americas Wholesale Power,65101040,RBICS_IG,4
Americas Wireless Services,6010151010,RBICS_IG,5
Americas Wireline Services,6010151510,RBICS_IG,5
Amusement Centers and Theme Parks,151010151010,RBICS_IG,6
Amusement and Recreation Centers,1510101510,RBICS_IG,5
Analog and Mixed Signal Semiconductors,55102010,RBICS_IG,4
Analytical and Bioanalytical Services,3515201510,RBICS_IG,5
Anesthesia Biopharmaceuticals,3510151510,RBICS_IG,5
Anesthesiology Devices,352020151010,RBICS_IG,6
Animal Feed Manufacturing,501510251010,RBICS_IG,6
Animal Production,50151010,RBICS_IG,4
Animal Research,3515202520,RBICS_IG,5
Annuities,301510151010,RBICS_IG,6
Antibiotics,351010101020,RBICS_IG,6
Apparel Component Production,201010151515,RBICS_IG,6
Apparel Fabrics Manufacturing,4520201010,RBICS_IG,5
Apparel Production,2010101515,RBICS_IG,5
Apparel Retail,20251020,RBICS_IG,4
Apparel and Accessories Retail,202510,RBICS_IG,3
Apparel and Accessory Products,201010,RBICS_IG,3
Apparel and Footwear Production,20101015,RBICS_IG,4
Application Management Consulting,552020201010,RBICS_IG,6
Architectural Component Manufacturing,4515351010,RBICS_IG,5
Architectural Glass Manufacturing,451535101010,RBICS_IG,6
Architectural and Infrastructure Component Makers,45153510,RBICS_IG,4
Argon Gas Manufacturing,451010151540,RBICS_IG,6
"Arts, Entertainment and Recreation Providers",15101015,RBICS_IG,4
Asia (Excluding China) Wireless Services,601015101510,RBICS_IG,6
Asia (Excluding China) Wireline Services,601015151510,RBICS_IG,6
Asia Excluding China Mixed Telecommunications,6010105520,RBICS_IG,5
Asia/Pacific Air Passenger Service Providers,4015301015,RBICS_IG,5
Asia/Pacific Banks,30101015,RBICS_IG,4
Asia/Pacific CNG and LNG Distributors,251510101025,RBICS_IG,6
Asia/Pacific Crude Oil Liquid Pipeline/Storage,251515201015,RBICS_IG,6
Asia/Pacific Department Stores,5010151015,RBICS_IG,5
Asia/Pacific Electric Power Utilities,651010101010,RBICS_IG,6
Asia/Pacific Fossil Fuel Exploration/Production,2510152010,RBICS_IG,5
Asia/Pacific Gold Mining,4515252015,RBICS_IG,5
Asia/Pacific International Coal Mining,25101015,RBICS_IG,4
Asia/Pacific Investment Banking/Corporate Finance,302010151510,RBICS_IG,6
Asia/Pacific Natural Gas Pipeline and Storage,251515101015,RBICS_IG,6
Asia/Pacific Natural Gas Utilities,651010151015,RBICS_IG,6
Asia/Pacific Petroleum Refineries,2515101515,RBICS_IG,5
Asia/Pacific Petroleum Storage and Transport,251510102525,RBICS_IG,6
Asia/Pacific Propane and LPG Marketing and Dist.,251510103025,RBICS_IG,6
Asia/Pacific Rail Transportation,401510201010,RBICS_IG,6
Asia/Pacific Supermarkets,501010202010,RBICS_IG,6
Asia/Pacific Water Utilities,651015101015,RBICS_IG,6
Asia/Pacific Wholesale Power,65101045,RBICS_IG,4
Asia/Pacific Wireless Services,6010151015,RBICS_IG,5
Asia/Pacific Wireline Services,6010151515,RBICS_IG,5
Asphalt Manufacturing,451535201010,RBICS_IG,6
"Asphalt, Cement and Concrete Product Manufacturing",451535201015,RBICS_IG,6
"Asphalt, Cement and Concrete Products",4515352010,RBICS_IG,5
Assembly Equipment Manufacturing,551030101010,RBICS_IG,6
Asset Management Software,5520151510,RBICS_IG,5
Asset Management and Financial Advisory Services,30201010,RBICS_IG,4
Asset Tracking GPS Systems Manufacturing,5515153010,RBICS_IG,5
Assisted Living,3515152010,RBICS_IG,5
Athletic Footwear Production,201010152010,RBICS_IG,6
Auction Houses and Authentication Services,20151510,RBICS_IG,4
Audio Electronics Manufacturing,55152510,RBICS_IG,4
Audio Multimedia Semiconductors,551020401510,RBICS_IG,6
Australia Coal Mining,251010151010,RBICS_IG,6
Australia Fossil Fuel Exploration/Production,251015201010,RBICS_IG,6
Australia Gold Ore Mining,451525201510,RBICS_IG,6
Australia and New Zealand Banks,3010101510,RBICS_IG,5
Australia and New Zealand Wireless Services,601015101515,RBICS_IG,6
Australia and New Zealand Wireline Services,601015151515,RBICS_IG,6
Australia/New Zealand Mixed Telecom Services,6010105515,RBICS_IG,5
Auto Exterior Comfort/Safety/Electronics Products,202010101010,RBICS_IG,6
Auto Insurance,301510201510,RBICS_IG,6
Auto Interior Comfort/Safety/Electronics Products,202010101015,RBICS_IG,6
Auto Reinsurance,301510252010,RBICS_IG,6
Auto Retail,201510,RBICS_IG,3
Autoimmune Disorders Biopharmaceuticals,3510203510,RBICS_IG,5
Automated Teller Machines (ATMs),303010153010,RBICS_IG,6
Automated Teller Machines (ATMs) Hardware Makers,551510201010,RBICS_IG,6
Automobile Comfort/Safety/Electronics Parts Makers,2020101010,RBICS_IG,5
Automobile Dealers,2015101510,RBICS_IG,5
Automobile Financing,3030101510,RBICS_IG,5
Automotive Classifieds and Directories Media/Sites,552010101010,RBICS_IG,6
Automotive Equipment Rental,2015102010,RBICS_IG,5
Automotive Industry Software,201510102010,RBICS_IG,6
Automotive Maintenance and Repair Services,2015101010,RBICS_IG,5
Automotive Parts and Accessories Stores,201510201510,RBICS_IG,6
"Automotive Parts, Accessories and Tires Retail",201510201515,RBICS_IG,6
"Automotive Parts, Accessories and Tires Sales",2015102015,RBICS_IG,5
Automotive Services,20151010,RBICS_IG,4
Automotive and Marine Electronics Manufacturing,55152515,RBICS_IG,4
Autonomous Commercial/Transit Vehicle Production,401025101515,RBICS_IG,6
Autonomous Control Ship Builders,401025103515,RBICS_IG,6
Autonomous Control Truck Production,401025102015,RBICS_IG,6
Autonomous Drone Manufacturers,401010101040,RBICS_IG,6
Autonomous Drone Parts Manufacturers,401010101045,RBICS_IG,6
Autonomous Transport Control Software,401510151020,RBICS_IG,6
Aviation Equipment,4010101010,RBICS_IG,5
Baby Accessories Manufacturing,50201510,RBICS_IG,4
"Backup, Emergency and Standby Power Products",401015101510,RBICS_IG,6
Bacterial Infectious Disease Biopharmaceuticals,3510101010,RBICS_IG,5
Bacterial Vaccines,351010101010,RBICS_IG,6
Ball and Roller Bearings Products,4515101010,RBICS_IG,5
Banking,3010,RBICS_IG,2
Base Metal Mining,45152510,RBICS_IG,4
"Basic Plastic Sheets, Films and Shapes Products",4510251510,RBICS_IG,5
Battery Charging Equipment Manufacturing,401015101550,RBICS_IG,6
Bauxite Ore Mining,451525101010,RBICS_IG,6
"Beef, Pork and Other Meats Production",501515152510,RBICS_IG,6
"Beer, Wine and Spirits Retail",5010102510,RBICS_IG,5
Benefits Administration Services,101015101010,RBICS_IG,6
Beverage and Specialty Foods Stores,50101010,RBICS_IG,4
Beverages Production,50151510,RBICS_IG,4
Bioanalytical Consumables,351520251010,RBICS_IG,6
Bioanalytical Instruments,3515202510,RBICS_IG,5
Biodiesel Fuel Manufacturing,451010101510,RBICS_IG,6
Biological Specimen Storage,3515102510,RBICS_IG,5
Biologics OEMs,351525101015,RBICS_IG,6
Biopharmaceutical OEM,3515251010,RBICS_IG,5
Biopharmaceuticals,3510,RBICS_IG,2
Biotechnology and Genomics (GMO/Hybrids) Products,451020201510,RBICS_IG,6
Blank Check Companies/SPAC,3020102010,RBICS_IG,5
Blockchain Technology,303015101040,RBICS_IG,6
Boat Makers,2010151510,RBICS_IG,5
Boat and Recreational Vehicle Sales,201510151510,RBICS_IG,6
Book Publishing,151510202010,RBICS_IG,6
Book Stores,202515151010,RBICS_IG,6
"Book, Music and Periodical Distributors",202515151015,RBICS_IG,6
Bottled Water Manufacturing,501515102010,RBICS_IG,6
Bread and Cereal Product Manufacturing,501515153010,RBICS_IG,6
Breast Cancer Biopharmaceuticals,3510101510,RBICS_IG,5
Breweries,501515101010,RBICS_IG,6
Broadcast Media Services,15151010,RBICS_IG,4
Brokerage Services,3020102510,RBICS_IG,5
Budget Hotels and Motels,151010102510,RBICS_IG,6
Building Components Automation Providers,401020151515,RBICS_IG,6
Building Construction,401525101010,RBICS_IG,6
Building Maintenance and Engineering Services,101020101010,RBICS_IG,6
Building Materials Distribution,40152025,RBICS_IG,4
Building Materials and Garden Supply Stores,20252010,RBICS_IG,4
Building Materials and Supplies Stores,2025201010,RBICS_IG,5
Building/Physical Electronic Security Equipment,5515101510,RBICS_IG,5
Bulge Bracket Investment Banking,302010151515,RBICS_IG,6
Burger Restaurants,151010251515,RBICS_IG,6
Burial Casket Manufacturing,502510151010,RBICS_IG,6
Bus Transportation,4015301510,RBICS_IG,5
Business Communications Equipment,55151510,RBICS_IG,4
Business Development Companies,3020102015,RBICS_IG,5
Business Event and Conference Organizers,101010101510,RBICS_IG,6
Business Forms Printing Services,101010151010,RBICS_IG,6
Business Intelligence Software,5520151515,RBICS_IG,5
Business Intelligence/Data Warehousing Consulting,552020201015,RBICS_IG,6
Business Planning and Control ERP Software,552015153010,RBICS_IG,6
Business Process Outsourcing Services,1010151510,RBICS_IG,5
Business Services,10,RBICS_IG,1
Business Support Services,101020,RBICS_IG,3
CNG and LNG Distributors,2515101010,RBICS_IG,5
Cabinets and Countertops Manufacturing,201020101010,RBICS_IG,6
Cable Equipment,55151515,RBICS_IG,4
Cable Interconnect Components,5510101010,RBICS_IG,5
Cafeteria and Buffet-Style Restaurants,151010251520,RBICS_IG,6
Cakes and Pastry Makers,501515153510,RBICS_IG,6
Canada Banks,3010101010,RBICS_IG,5
Canada Biomass Wholesale Power,651010401530,RBICS_IG,6
Canada Decentralized Wholesale Power,651010401535,RBICS_IG,6
Canada Fossil Fuel Wholesale Power,651010401520,RBICS_IG,6
Canada Gold Ore Mining,451525201010,RBICS_IG,6
Canada Hydroelectric Wholesale Power,651010401545,RBICS_IG,6
Canada Investment Banking and Corporate Finance,302010151010,RBICS_IG,6
Canada Mixed Alternative Wholesale Power,651010401510,RBICS_IG,6
Canada Mixed Telecommunications Services,6010105020,RBICS_IG,5
Canada Mixed Wholesale Power,651010401515,RBICS_IG,6
Canada National Fossil Fuel Exploration/Production,251015101010,RBICS_IG,6
Canada Natural Gas Pipeline and Storage,251515101520,RBICS_IG,6
Canada Oil Sands Exploration/Production,251015101015,RBICS_IG,6
Canada Other Fossil Fuel Exploration/Production,251015101020,RBICS_IG,6
Canada Solar Wholesale Power,651010401550,RBICS_IG,6
Canada Wholesale Power,6510104015,RBICS_IG,5
Canada Wind Wholesale Power,651010401555,RBICS_IG,6
Canada Wireline Services,601015151010,RBICS_IG,6
Cannabis Farming,501510153030,RBICS_IG,6
Canned and Processed Food Production,5015151510,RBICS_IG,5
Canned and Processed Fruit and Vegetable Products,501515151010,RBICS_IG,6
Car Manufacturers,2020101510,RBICS_IG,5
Carbon Black Manufacturing,451010152010,RBICS_IG,6
Carbon Capture Services and Technologies,101025302015,RBICS_IG,6
Carbon Dioxide Gas Manufacturing,451010151530,RBICS_IG,6
Carbon and Graphite Products Manufacturing,451510202510,RBICS_IG,6
Cardiology Medical Devices,3520151010,RBICS_IG,5
Cardiology Surgical Devices,352015101015,RBICS_IG,6
Cardiovascular System Biopharmaceuticals,35102010,RBICS_IG,4
Career Classifieds and Directories Media and Sites,552010101015,RBICS_IG,6
Cargo Transportation and Infrastructure Services,401510,RBICS_IG,3
Carrier Core (Backbone) Equipment,5515153510,RBICS_IG,5
Carrier Edge Network Management Equipment,551515352010,RBICS_IG,6
Casino Table Gaming Equipment,151010151510,RBICS_IG,6
Casinos and Casino Hotels,151010152510,RBICS_IG,6
Casual Wear and Teen Wear Production,201010151520,RBICS_IG,6
Casual and Dress Footwear Production,201010152015,RBICS_IG,6
Casual and Specialty Apparel Retail,2025102010,RBICS_IG,5
"Casual, Young Adult/Teen, and Specialty",202510201010,RBICS_IG,6
Cattle Ranching and Farming,501510101010,RBICS_IG,6
Cellular Phone Accessories Manufacturing,5515154510,RBICS_IG,5
Cellular Site Equipment,5515154010,RBICS_IG,5
Cement Manufacturing,451535201020,RBICS_IG,6
Central and Eastern Europe Mixed Telecom Services,6010106020,RBICS_IG,5
Central and Eastern Europe Wireless Services,601015102010,RBICS_IG,6
Central and Eastern Europe Wireline Services,601015152010,RBICS_IG,6
Central and South America Mixed Telecom Services,6010105015,RBICS_IG,5
Central and South America Wireless Services,601015101010,RBICS_IG,6
Central and South America Wireline Services,601015151015,RBICS_IG,6
Chassis and Body Manufacturing,202010101510,RBICS_IG,6
Check Cashing and Pawnshops,3030101515,RBICS_IG,5
Chemical Flavor and Fragrance Additives Products,4510201010,RBICS_IG,5
Chemical and Allied Products Distributors,4015201510,RBICS_IG,5
"Chemical, Plastic and Rubber Materials",4510,RBICS_IG,2
Chemistry Clinical Diagnostic Devices,3520101010,RBICS_IG,5
Chicken Egg Production,501510101015,RBICS_IG,6
Chicken Meat Production,501510101020,RBICS_IG,6
Chicken Restaurants,151010251525,RBICS_IG,6
Child Birth and Contraception Biopharmaceuticals,351020501510,RBICS_IG,6
Children's Wear Production,201010151525,RBICS_IG,6
Chilled Foods Production,501515151015,RBICS_IG,6
China Biomass Wholesale Power,651010451530,RBICS_IG,6
China Coal Mining,251010151015,RBICS_IG,6
China Decentralized Wholesale Power,651010451535,RBICS_IG,6
China Fossil Fuel Exploration/Production,251015201015,RBICS_IG,6
China Fossil Fuel Wholesale Power,651010451520,RBICS_IG,6
China Geothermal Wholesale Power,651010451540,RBICS_IG,6
China Gold Ore Mining,451525201515,RBICS_IG,6
China Hydroelectric Wholesale Power,651010451545,RBICS_IG,6
China Mixed Alternative Wholesale Power,651010451510,RBICS_IG,6
China Mixed Telecommunications Services,6010105525,RBICS_IG,5
China Mixed Wholesale Power,651010451515,RBICS_IG,6
China Nuclear Wholesale Power,651010451560,RBICS_IG,6
China Solar Wholesale Power,651010451550,RBICS_IG,6
China Wholesale Power,6510104515,RBICS_IG,5
China Wind Wholesale Power,651010451555,RBICS_IG,6
China Wireless Services,601015101520,RBICS_IG,6
China Wireline Services,601015151520,RBICS_IG,6
Cigarette Manufacturing,50152010,RBICS_IG,4
Cinema Projection Systems Manufacturing,551510251010,RBICS_IG,6
Circuits Assembly Services,5510151010,RBICS_IG,5
Citrus Fruit Farming,501510152010,RBICS_IG,6
City Guides Content Providers and Sites,552010351010,RBICS_IG,6
Classic Wear and Golf Wear Production,201010151530,RBICS_IG,6
Clay and Ceramic Products,4515151010,RBICS_IG,5
Clay and Ceramic Products Manufacturing,451515101010,RBICS_IG,6
Cleaning and Sanitizing Agent Products,45102025,RBICS_IG,4
Clinical Diagnostics Devices,35201010,RBICS_IG,4
Clinical Laboratory Patient Diagnostics,3515151510,RBICS_IG,5
Clinical Limited Service CRO,3515251515,RBICS_IG,5
Clinical Limited Service CROs,351525151510,RBICS_IG,6
Clinical and Preclinical Limited Service CRO,3515251510,RBICS_IG,5
Clinical and Preclinical Limited Service CROs,351525151010,RBICS_IG,6
Closed Circuit Television (CCTV) Systems/Products,551510151020,RBICS_IG,6
Coal and Metals Distribution,401520151510,RBICS_IG,6
Coal and Uranium Mining,251010,RBICS_IG,3
Coatings Manufacturing,4510201515,RBICS_IG,5
Cobalt Ore Mining,451525101035,RBICS_IG,6
"Coffee, Tea and Cocoa Production",501515102020,RBICS_IG,6
Collection Agencies and Loan Factoring Services,303010101010,RBICS_IG,6
Colleges,502510101510,RBICS_IG,6
Colocation and Data Center Services,5520102010,RBICS_IG,5
Commemoration Products Manufacturing,502510151015,RBICS_IG,6
Commerce Equipment,55151010,RBICS_IG,4
Commercial Bank and Credit Union Software,303015101010,RBICS_IG,6
Commercial Class Printers Manufacturing,551510401010,RBICS_IG,6
Commercial Document Security Providers,101010151015,RBICS_IG,6
Commercial Electronics,551510,RBICS_IG,3
Commercial Finance Services,30301010,RBICS_IG,4
Commercial Insurance,3015102010,RBICS_IG,5
Commercial Loans,303010101015,RBICS_IG,6
Commercial Mortgage Banking and Services,3010151010,RBICS_IG,5
Commercial Mortgage REITs,302520201010,RBICS_IG,6
Commercial Printing Services,1010101510,RBICS_IG,5
Commercial Property Insurance,301510201010,RBICS_IG,6
Commercial Property Owners,302515151015,RBICS_IG,6
Commercial Real Estate Services and Brokerage,3025151010,RBICS_IG,5
Commercial Real Estate Services and Brokers,302515101010,RBICS_IG,6
Commercial Service Industry Machinery Products,4010203010,RBICS_IG,5
Commercial Specialty Engineering Contractors,401525102010,RBICS_IG,6
Commercial Transportation Equipment Distributors,401520101510,RBICS_IG,6
Commercial Transportation Equipment Manufacturing,40102510,RBICS_IG,4
Commercial Vehicle Commercial Insurance,301510201015,RBICS_IG,6
Commercial and Industrial Electric Products,40101510,RBICS_IG,4
Commercial and Public Service Vehicles Makers,401025101510,RBICS_IG,6
Commercial and Public Service Vehicles Production,4010251015,RBICS_IG,5
Commercial and Residential Property Owners,302515151010,RBICS_IG,6
Commercial/Public Service Vehicle Component Makers,4010251010,RBICS_IG,5
Commodities Trading Services,302010252010,RBICS_IG,6
Commodity Chemicals,451010,RBICS_IG,3
Communication and Collaboration Content Sites,552010351015,RBICS_IG,6
Communications Equipment,551515,RBICS_IG,3
Communications Equipment Distributors,5515301010,RBICS_IG,5
Communications Infrastructure Software,5520153510,RBICS_IG,5
Communications Semiconductors,5510204010,RBICS_IG,5
Composite Materials Manufacturing,45202020,RBICS_IG,4
Compressor and Pumping Equipment Manufacturing,401020101515,RBICS_IG,6
Computer Aided Design (CAD) Software,552015101010,RBICS_IG,6
Computer Aided Design Software,5520151010,RBICS_IG,5
Computer Chassis/Casings,551015101515,RBICS_IG,6
Computer Display Equipment,5515201010,RBICS_IG,5
Computer Hardware and Storage,551520,RBICS_IG,3
Computer Hardware and Storage Distributors,5515301015,RBICS_IG,5
Computer Peripherals,55152010,RBICS_IG,4
Computer Systems,55152015,RBICS_IG,4
Computer and Software Stores,2025151010,RBICS_IG,5
"Concrete Blocks, Bricks and Aggregates Makers",451535201025,RBICS_IG,6
Confectionery Manufacturing,501515153515,RBICS_IG,6
Conferencing Equipment,5515151010,RBICS_IG,5
Console Games Software,5520152010,RBICS_IG,5
Construction Commercial Insurance,301510201020,RBICS_IG,6
Construction Materials,451535,RBICS_IG,3
Construction Wood Products,45201010,RBICS_IG,4
Construction and Mining Machinery Distributors,401520101515,RBICS_IG,6
Consulting and Business Process Services,101015152010,RBICS_IG,6
Consulting/Business Process Outsourcing Services,10101515,RBICS_IG,4
Consumer Batteries Manufacturing,5020101510,RBICS_IG,5
Consumer Content Providers,5520103510,RBICS_IG,5
Consumer Cyclicals,20,RBICS_IG,1
Consumer Data and Services,55201010,RBICS_IG,4
Consumer Electronics,551525,RBICS_IG,3
Consumer Electronics Accessories Manufacturing,55152520,RBICS_IG,4
Consumer Electronics Distributors,5515301020,RBICS_IG,5
Consumer Electronics Stores,2025151020,RBICS_IG,5
Consumer Electronics and Appliance Rental,2025151015,RBICS_IG,5
Consumer Finance Services,30301015,RBICS_IG,4
Consumer Goods,2010,RBICS_IG,2
Consumer Non-Cyclicals,50,RBICS_IG,1
Consumer Retail,2025,RBICS_IG,2
Consumer Services,15,RBICS_IG,1
Consumer Vehicle Manufacturing,20201015,RBICS_IG,4
Consumer Vehicle Parts Manufacturing,20201010,RBICS_IG,4
Consumer Vehicle Powertrain and Chassis Makers,2020101015,RBICS_IG,5
Consumer Vehicle Wheels and Tires Manufacturing,2020101020,RBICS_IG,5
Consumer Vehicles and Parts,2020,RBICS_IG,2
Consumer Video Electronics Equipment,55152525,RBICS_IG,4
Container Deep Sea and Offshore Shipping,401510101510,RBICS_IG,6
Containers and Packaging,452015,RBICS_IG,3
Content Management Software,5520151520,RBICS_IG,5
Contract Electronic Manufacturing,55101510,RBICS_IG,4
Contract Manufacturing Organizations,35152510,RBICS_IG,4
Contract Research Organizations,35152515,RBICS_IG,4
Convenience Foods and Meals Production,501515151020,RBICS_IG,6
Convenience Stores,5010102010,RBICS_IG,5
Conventional Engine Car Manufacturers,202010151015,RBICS_IG,6
Conventional Flat Panel Display Equipment,5515203010,RBICS_IG,5
Cookies and Crackers Manufacturing,501515153520,RBICS_IG,6
Copper Ore Mining,451525101015,RBICS_IG,6
Copper-Derived Structural Shape Manufacturing,451510203510,RBICS_IG,6
Corn Farming,501510153515,RBICS_IG,6
Corporate or Other Unallocated Revenue,9010,RBICS_IG,2
Correctional Institutions,101020151010,RBICS_IG,6
Corrugated Container Manufacturing,4520152010,RBICS_IG,5
Cosmetics Manufacturing,5020201510,RBICS_IG,5
Cosmetics Products,50202015,RBICS_IG,4
Cotton Farming,501510153525,RBICS_IG,6
Credit Cards,3030101520,RBICS_IG,5
Credit Life,301510151015,RBICS_IG,6
Credit and Information Bureaus,101015103010,RBICS_IG,6
Credit or Collateralized Alternative Fund Managers,302010101010,RBICS_IG,6
Crop Processing,501510251015,RBICS_IG,6
Crop Production,50151015,RBICS_IG,4
Crude Oil Distributors,2515101035,RBICS_IG,5
Crude Oil Liquid Pipeline and Storage,2515152010,RBICS_IG,5
Crude Oil Transportation,251020101010,RBICS_IG,6
Cruise Lines,1510101010,RBICS_IG,5
Cryptocurrency Mining,3030101545,RBICS_IG,5
Cryptocurrency Trading and Exchanges,303010153030,RBICS_IG,6
Custodial Services,302010251525,RBICS_IG,6
Custom Printing Services,101010151020,RBICS_IG,6
Customer Contact Centers,101015151010,RBICS_IG,6
Customer Premises Network Security Equipment,5515153515,RBICS_IG,5
Customer Relationship Management (CRM) Consulting,552020201020,RBICS_IG,6
Customer Relationship Management Software,5520151525,RBICS_IG,5
Customer Service Software,552015152510,RBICS_IG,6
Dairy Alternative Products Manufacturing,501515151510,RBICS_IG,6
Dairy Products Production,501515151520,RBICS_IG,6
Dairy and Dairy Alternative Production,5015151515,RBICS_IG,5
Data Storage Drives and Peripherals,5515202010,RBICS_IG,5
Data Storage Hardware,55152020,RBICS_IG,4
Data Storage Infrastructure Software,5520153515,RBICS_IG,5
Data Storage Media,5515202015,RBICS_IG,5
Data Transport Carrier Services,601010301015,RBICS_IG,6
Death Care Services,5025101510,RBICS_IG,5
Decorative Component Manufacturing,451535101015,RBICS_IG,6
Defense Contractors,401010151020,RBICS_IG,6
Defense Electronics Equipment Manufacturing,401010151025,RBICS_IG,6
Defense Manufacturing,40101015,RBICS_IG,4
Defense Training and Testing Providers,4010102015,RBICS_IG,5
Deli-Style and Lunch Restaurants,151010251530,RBICS_IG,6
Delivery and Logistics Services,401515,RBICS_IG,3
Dental Devices,352020151015,RBICS_IG,6
Department Stores,50101510,RBICS_IG,4
Dermatology Biopharmaceuticals,35102015,RBICS_IG,4
Design and Engineering Software,55201510,RBICS_IG,4
"Design, Integration and Implementation Consulting",5520202510,RBICS_IG,5
Desktop Computer Systems,5515201510,RBICS_IG,5
Development and Design Services,552010251010,RBICS_IG,6
Development and Manufacturing Services,35152520,RBICS_IG,4
Diabetes Biopharmaceuticals,3510202510,RBICS_IG,5
Diagnostics and Drug Delivery Devices,352010,RBICS_IG,3
Diamond Mining,4515301510,RBICS_IG,5
Diet and Weight Loss Centers,502510151510,RBICS_IG,6
Dietary and Naturopathic Supplements,3515201010,RBICS_IG,5
Digestive System Biopharmaceuticals,35102020,RBICS_IG,4
Direct Marketing Services,101010101010,RBICS_IG,6
Discount Stores,50101515,RBICS_IG,4
Discrete Semiconductors,55102015,RBICS_IG,4
Disk Storage Systems,551520202010,RBICS_IG,6
Display Advertising Services,101010101515,RBICS_IG,6
Distilleries,501515101015,RBICS_IG,6
Diverse Alternative Investment Managers,302010101015,RBICS_IG,6
Diverse Asset Management and Financial Advisors,3020101015,RBICS_IG,5
Diverse Business Process Outsourcing Services,101015151015,RBICS_IG,6
Diverse Construction and Engineering Services,4015251025,RBICS_IG,5
Diverse Institutional/High-Net Advisory Finance,302010102510,RBICS_IG,6
Diverse Nonmetallic Minerals Processors,4515151015,RBICS_IG,5
Diverse Oil and Gas Field Equipment Manufacturing,251020151010,RBICS_IG,6
Diversified Aerospace Manufacturing,401010201010,RBICS_IG,6
Diversified Aerospace and Defense Manufacturing,40101020,RBICS_IG,4
Diversified Agriculture Production,50151020,RBICS_IG,4
