Ticker,Company,Industry,Sector,Theme_Exposure,Directional_Exposure,Theme,Theme_Description,Meta_Theme,Mega_Theme,Research_Provider,Research_Note,Research_Note_Year,Research_Note_Month,Research_Note_Day,Key_Variable,KV_View,KV_View_Detail
BAY,Bayer AG ,Pharma/Agricultural seed/crop chemicals,Health Care ,Bayer's CCUS efforts are primarily focused on pioneering the digital ag transformation and enabling more systematic capture of carbon at the farm-level,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
BE,Bloom Energy ,Clean Tech.,Energy,Likely to introduce a CCS add-on feature to its fuel cell product in 2021,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
BKR,Baker Hughes ,Oil Services,Energy,Currently announcing partnerships and booking smaller-scale orders,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
CE,Celanese ,Diversified Chemicals,Materials,Recycled CO2 to methanol project,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
CF,CF Industries ,Fertilizer,Materials,"CCS capability at 7/9 manufacturing sites, UK CCS cluster projects",Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
COP,ConocoPhillips ,E&P,Energy,Currently assessing CCS to meet ambition of net-zero operated emissions by 2050,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
CVX,Chevron ,Integrated Oil,Energy,"Created a business focused on CCS & hydrogen, plans to invest $10B through '28 to grow low-carbon ops, and operates the world's largest CCS project",Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
DEN,Denbury covered),E&P,Energy,"Using CO2 in EOR ops, with ~30% being sourced from industrial emitters, with path to ~100%. Owns Central US and Gulf Coast CO2 pipeline network.",Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
ENB,Enbridge ,Midstream,Energy,CO2 transportation,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
EOG,EOG Resources ,E&P,Energy,Launching pilot project to capture and store EOG's direct CO2 emissions,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
EPD,Enterprise Products ,Midstream,Energy,CO2 transportation,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
FANG,Diamondback Energy ,E&P,Energy,"Potentially co-investing in CCS with a ""subject matter expert"" to offset scope 1 emissions",Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
GTLS,Chart Industries ,Industrial Equipment & Tech,Industrials,"Offers equipment and solutions for post combustion and direct air capture, storage tanks, and transport equipment, among others",Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
KMI,Kinder Morgan ,Midstream,Energy,CO2 transportation,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
LIN,Linde ,Industrial Gas,Materials,"Dry reformation tech, post-combustion capture tech, oxyfuel tech",Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
NEXT,NextDecade ,Diversified Natural Gas,Energy,"Proprietary CCS technology supports carbon management business and low carbon LNG in the Rio Grande LNG project (FID outstanding, potentially 2026)",Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
NTR,Nutrien ,Fertilizer,Materials,Comprehensive farm CCS program,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
OXY,Occidental Petroleum ,E&P,Energy,Using CO2 in EOR ops; developing the largest DAC facility and also solutions to decarbonize chemicals,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
SLB,Schlumberger ,Oil Services,Energy,Announced first project w/ CVX & MSFT; partnership w/ LafargeHolcim,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
TRP,TC Energy ,Midstream,Energy,CO2 transportation,Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
XOM,Exxon Mobil ,Integrated Oil,Energy,"Created Low Carbon Solutions business, ownership in ~20% of all global capacity; currently evaluating>20 new projects globally",Positive,"CCUS (Carbon Capture, Storage & Utilization)","Carbon capture, utilization and storage (CCUS) is the process of capturing carbon from emission sources and sequestering the carbon permanently in underground storage such as depleted oil & gas reservoirs or saline formations. Captured carbon could alternatively be used commercially in enhanced oil recovery (EOR) or the production of materials, chemicals, or fuels. While CCUS is not new, the technology is evolving — such as capturing carbon directly from the ambient air in the atmosphere, known as direct air capture (DAC), or utilizing captured carbon to produce low emissions products, including synthetic fuels and chemicals feedstocks. ",Decarbonization,ESG/SRI ,Morgan Stanley,"Decarbonization
""Going Green Across the Board:
Assessing Key Decarbonization
Technologies & Stocks Exposed""",2021,9,30,Capital investment in CCUS,$33bn,By the year 2030
