factset_ultimate_parent_entity_id,ultimate_parent_name,Ult_Parent_Entity_Type,rel_type_desc,factset_entity_id,Name,Entity_Type
000TCG-E,"Essential Utilities, Inc.",Public Company,IS_PARENT_OF,000HH5-E,"Delta Natural Gas Co., Inc.",Subsidiary
000ZW7-E,DTE Energy Co.,Public Company,IS_PARENT_OF,000HHY-E,DTE Electric Co.,Subsidiary
0JXT0J-E,"Dimensional Holdings, Inc.",Holding Company,IS_PARENT_OF,000HJ9-E,Dimensional Fund Advisors LP,Subsidiary
0NZTMJ-E,Dole Plc,Public Company,IS_PARENT_OF,000HM6-E,"Dole Food Co., Inc.",Subsidiary
0JYNXQ-E,"Dow, Inc.",Public Company,IS_PARENT_OF,000HN8-E,The Dow Chemical Co.,Subsidiary
0K779Z-E,"Corteva, Inc.",Public Company,IS_PARENT_OF,000HT4-E,E.I. du Pont de Nemours & Co.,Subsidiary
00DZZ3-E,Eaton Corp. Plc,Public Company,IS_PARENT_OF,000HWL-E,Eaton Corp.,Subsidiary
0013TZ-E,Morgan Stanley,Public Company,IS_PARENT_OF,000HWN-E,Eaton Vance Corp.,Subsidiary
0N8XQH-E,The Infrastructure Investments Fund,Private Company,IS_PARENT_OF,000HYL-E,El Paso Electric Co.,Subsidiary
001V6Q-E,"MKS Instruments, Inc.",Public Company,IS_PARENT_OF,000HZ1-E,"Electro Scientific Industries, Inc.",Subsidiary
0GGD8K-E,"Dell Technologies, Inc.",Public Company,IS_PARENT_OF,000HZY-E,EMC Corp.,Subsidiary
05JBR3-E,Employers Mutual Casualty Co.,Holding Company,IS_PARENT_OF,000HZZ-E,"EMC Insurance Group, Inc.",Subsidiary
05J00S-E,Nimble Holdings Co. Ltd.,Public Company,IS_PARENT_OF,000J0N-E,Emerson Radio Corp.,Public_Company
003G89-E,Novo Nordisk A/S,Public Company,IS_PARENT_OF,000J0P-E,"Emisphere Technologies, Inc.",Subsidiary
088G5Z-E,Algonquin Power & Utilities Corp.,Public Company,IS_PARENT_OF,000J0X-E,The Empire District Electric Co.,Subsidiary
00DR44-E,"Diamondback Energy, Inc.",Public Company,IS_PARENT_OF,000J5M-E,Energen Corp.,Subsidiary
067V99-E,"TransDigm Group, Inc.",Public Company,IS_PARENT_OF,000JC2-E,Esterline Technologies Corp.,Subsidiary
0M0HJ0-E,"Elevate Entertainment, Inc.",Private Company,IS_PARENT_OF,000JCN-E,Evans & Sutherland Computer Corp.,Subsidiary
00DG10-E,"Post Holdings, Inc.",Public Company,IS_PARENT_OF,000JCP-E,"Bob Evans Farms, Inc.",Subsidiary
005S48-E,"MaxLinear, Inc.",Public Company,IS_PARENT_OF,000JDN-E,Exar Corp.,Subsidiary
0K0BTZ-E,Farallon Capital Management LP,Private Company,IS_PARENT_OF,000JGK-E,Farallon Capital Management LLC,Subsidiary
0Q3FPN-E,Federal Realty Investment Trust,Public Company,IS_PARENT_OF,000JHJ-E,Federal Realty Interim Real Estate Investment Trust,Subsidiary
06HJ8Y-E,FMR LLC,Private Company,IS_PARENT_OF,000JLV-E,Fidelity Investment Trust,Umbrella_Fund
06HJ8Y-E,FMR LLC,Private Company,IS_PARENT_OF,000JMK-E,Fidelity Puritan Trust,Umbrella_Fund
05J130-E,JD Sports Fashion Plc,Public Company,IS_PARENT_OF,000JP7-E,"The Finish Line, Inc.",Subsidiary
000KJ3-E,"Fiserv, Inc.",Public Company,IS_PARENT_OF,000JR2-E,First Data Corp.,Subsidiary
000STY-E,Old National Bancorp,Public Company,IS_PARENT_OF,000JT3-E,"First Midwest Bancorp, Inc. (Illinois)",Subsidiary
000KQ5-E,"NextEra Energy, Inc.",Public Company,IS_PARENT_OF,000KLC-E,Florida Power & Light Co.,Subsidiary
06HJ8Y-E,FMR LLC,Private Company,IS_PARENT_OF,000KLZ-E,Fidelity Management & Research Co. LLC,Subsidiary
000CS1-E,"Berkshire Hathaway, Inc.",Public Company,IS_PARENT_OF,000KT2-E,"Fruit of the Loom, Inc.",Subsidiary
000DRP-E,Cintas Corp.,Public Company,IS_PARENT_OF,000KVD-E,G&K Services LLC,Subsidiary
06P1NV-E,State Farm Mutual Automobile Insurance Co.,Private Company,IS_PARENT_OF,000KVZ-E,"GAINSCO, Inc.",Subsidiary
05ZFYN-E,TTWF LP,Private Company,IS_PARENT_OF,000L0L-E,Axiall Corp.,Subsidiary
000WQ5-E,The Southern Co.,Public Company,IS_PARENT_OF,000L0P-E,Georgia Power Co.,Subsidiary
05J2JQ-E,Lectra SA,Public Company,IS_PARENT_OF,000L0Y-E,Gerber Scientific LLC,Subsidiary
05HTCY-E,Compagnie Industrielle de Delle SA,Private Company,IS_PARENT_OF,000L15-E,LISI SA,Public_Company
0MSKJM-E,Um Partners LLC Series R,Private Company,IS_PARENT_OF,000L47-E,"Golden Enterprises, Inc.",Extinct
05ZWC7-E,"Chifeng Jilong Gold Mining Co., Ltd.",Public Company,IS_PARENT_OF,000L4D-E,Golden Star Resources Ltd.,Subsidiary
072RGX-E,Paloma Resources LLC,Private Company,IS_PARENT_OF,000L53-E,Goodrich Petroleum Corp.,Subsidiary
06R80P-E,Privet Fund Management LLC,Private Company,IS_PARENT_OF,000LGN-E,"Hardinge, Inc.",Subsidiary
000VPP-E,"Samsung Electronics Co., Ltd.",Public Company,IS_PARENT_OF,000LGX-E,"Harman International Industries, Inc.",Subsidiary
002MQ1-E,Komatsu Ltd.,Public Company,IS_PARENT_OF,000LH0-E,Komatsu Mining Corp.,Subsidiary
000LKB-E,"Hawaiian Electric Industries, Inc.",Public Company,IS_PARENT_OF,000LK9-E,"Hawaiian Electric Co., Inc.",Subsidiary
000CNJ-E,"Baxter International, Inc.",Public Company,IS_PARENT_OF,000LPQ-E,"Hill-Rom Holdings, Inc.",Subsidiary
001CGF-E,"Quest Diagnostics, Inc.",Public Company,IS_PARENT_OF,000LRZ-E,"Hooper Holmes, Inc.",Extinct
003DJY-E,"CenterPoint Energy, Inc.",Public Company,IS_PARENT_OF,000LSV-E,CenterPoint Energy Houston Electric LLC,Subsidiary
003LT3-E,TDK Corp.,Public Company,IS_PARENT_OF,000LVQ-E,"Hutchinson Technology, Inc.",Subsidiary
000L1R-E,"Gilead Sciences, Inc.",Public Company,IS_PARENT_OF,000M1V-E,"Immunomedics, Inc.",Subsidiary
002Y4R-E,"The Capital Group Cos., Inc.",Private Company,IS_PARENT_OF,000M2F-E,The Income Fund of America,Mutual_Fd_Open_End
00539H-E,"Realty Advisors, Inc.",Private Company,IS_PARENT_OF,000M2K-E,"Income Opportunity Realty Investors, Inc.",Public_Company
001GDY-E,"Geneve Holdings, Inc.",Private Company,IS_PARENT_OF,000M2V-E,Independence Holding Co.,Subsidiary
000BY1-E,"American Electric Power Co., Inc.",Public Company,IS_PARENT_OF,000M3D-E,Indiana Michigan Power Co.,Subsidiary
003JX5-E,B&D Holding SpA,Private Company,IS_PARENT_OF,000N20-E,International Game Technology,Subsidiary
000VW7-E,"SEACOR Holdings, Inc.",Holding Company,IS_PARENT_OF,000N2G-E,"Waterman Logistics, Inc.",Subsidiary
003XCR-E,"National Association for Stock Car Auto Racing, Inc.",Non-Profit Organization,IS_PARENT_OF,000N2H-E,International Speedway Corp.,Subsidiary
001H5Q-E,Canadian Pacific Railway Ltd.,Public Company,IS_PARENT_OF,000NF0-E,Kansas City Southern,Subsidiary
05HX9S-E,Yageo Corp.,Public Company,IS_PARENT_OF,000NH7-E,KEMET Corp.,Subsidiary
05HHKX-E,Smiths Group Plc,Public Company,IS_PARENT_OF,000NXK-E,Kreisler Manufacturing Corp.,Subsidiary
000F5X-E,Contran Corp.,Private Company,IS_PARENT_OF,000NXM-E,"Kronos Worldwide, Inc.",Public_Company
0032H5-E,Spire Inc.,Public Company,IS_PARENT_OF,000NYG-E,"Spire Missouri, Inc.",Subsidiary
0085R8-E,Lake Shore  MHC,Private Company,IS_PARENT_OF,000NYT-E,"Lake Shore Bancorp, Inc.",Public_Company
0FXYW8-E,Fortive Corp.,Public Company,IS_PARENT_OF,000NZB-E,"Landauer, Inc.",Subsidiary
06LK1F-E,Southwest JLK Corp.,Private Company,IS_PARENT_OF,000P0S-E,"Lawson Products, Inc.",Public_Company
000KRC-E,"Franklin Resources, Inc.",Public Company,IS_PARENT_OF,000P26-E,"Legg Mason, Inc.",Subsidiary
0BTZL3-E,"Prologis, Inc.",Public Company,IS_PARENT_OF,000P4J-E,Liberty Property Trust,Subsidiary
0BJG7Z-E,"Spireon, Inc.",Holding Company,IS_PARENT_OF,000P81-E,LoJack Corp.,Subsidiary
003XXN-E,Security Benefit Life Insurance Co.,Holding Company,IS_PARENT_OF,000P9Q-E,"LSB Industries, Inc.",Public_Company
000CS1-E,"Berkshire Hathaway, Inc.",Public Company,IS_PARENT_OF,000P9X-E,The Lubrizol Corp.,Subsidiary
05H41M-E,EssilorLuxottica SA,Public Company,IS_PARENT_OF,000PBH-E,Luxottica Group SpA,Subsidiary
000C4B-E,"Analog Devices, Inc.",Public Company,IS_PARENT_OF,000PKD-E,"Maxim Integrated Products, Inc.",Subsidiary
006XY7-E,"Tesla, Inc.",Public Company,IS_PARENT_OF,000PKK-E,"Maxwell Technologies, Inc.",Subsidiary
002Q21-E,Siemens AG,Public Company,IS_PARENT_OF,000PPY-E,Mentor Graphics Corp.,Extinct
00144D-E,"Gray Television, Inc.",Public Company,IS_PARENT_OF,000PQK-E,Meredith Corp.,Subsidiary
0NQLYK-E,"Magic AcquireCo, Inc.",Private Company,IS_PARENT_OF,000PYY-E,"Michaels Stores, Inc.",Subsidiary
000PZP-E,"Microchip Technology, Inc.",Public Company,IS_PARENT_OF,000Q06-E,Microsemi Corp.,Subsidiary
001H24-E,"Koch Industries, Inc.",Private Company,IS_PARENT_OF,000Q51-E,Molex LLC,Subsidiary
000C3J-E,Amphenol Corp.,Public Company,IS_PARENT_OF,000Q93-E,MTS Systems Corp.,Subsidiary
0LQPYV-E,Sumner M. Redstone National Amusements Trust,Trust/Trustee,IS_PARENT_OF,000QVC-E,"National Amusements, Inc.",Subsidiary
05GSP2-E,IBS Partners Ltd.,Private Company,IS_PARENT_OF,000QVK-E,National Beverage Corp.,Public_Company
0DF8QQ-E,Learning Technologies Group Plc,Public Company,IS_PARENT_OF,000R2S-E,GP Strategies Corp.,Subsidiary
05W4SG-E,Stefanini International Holdings Ltd. (Brazil),Private Company,IS_PARENT_OF,000R3D-E,"Stefanini, Inc.",Subsidiary
0FFQVV-E,"National Western Life Group, Inc.",Public Company,IS_PARENT_OF,000R3G-E,National Western Life Insurance Co.,Subsidiary
001YFZ-E,Volkswagen AG,Public Company,IS_PARENT_OF,000R4P-E,Navistar International Corp.,Subsidiary
0LWYF0-E,"Ovintiv, Inc.",Public Company,IS_PARENT_OF,000R9T-E,"Ovintiv Exploration, Inc.",Extinct
001V6Q-E,"MKS Instruments, Inc.",Public Company,IS_PARENT_OF,000RB1-E,Newport Corp.,Subsidiary
000F5X-E,Contran Corp.,Private Company,IS_PARENT_OF,000RC3-E,"NL Industries, Inc.",Public_Company
0F9XXX-E,Terry E. Trexler Revocable Trust,Trust/Trustee,IS_PARENT_OF,000RC8-E,"Nobility Homes, Inc.",Public_Company
000DP6-E,Chevron Corp.,Public Company,IS_PARENT_OF,000RC9-E,"Noble Energy, Inc.",Subsidiary
0MJHR2-E,The ODP Corp.,Public Company,IS_PARENT_OF,000SSV-E,Office Depot LLC,Subsidiary
001FW2-E,OGE Energy Corp.,Public Company,IS_PARENT_OF,000STT-E,Oklahoma Gas & Electric Co.,Subsidiary
0K0FDL-E,"Organogenesis Holdings, Inc.",Public Company,IS_PARENT_OF,000SYP-E,"Organogenesis, Inc.",Subsidiary
001274-E,PG&E Corp.,Public Company,IS_PARENT_OF,000T0Q-E,Pacific Gas & Electric Co.,Subsidiary
000CS1-E,"Berkshire Hathaway, Inc.",Public Company,IS_PARENT_OF,000T18-E,PacifiCorp.,Subsidiary
0DPXFH-E,Estate of Ramsay Paul Joseph,Trust/Trustee,IS_PARENT_OF,000T5V-E,Paul Ramsay Holdings Pty Ltd.,Subsidiary
061DW3-E,PEM Holding Co.,Holding Company,IS_PARENT_OF,000T75-E,Penn Engineering & Manufacturing Corp.,Subsidiary
0NBXVK-E,Penney OpCo LLC,Private Company,IS_PARENT_OF,000T7G-E,"Old COPPER Co., Inc.",Subsidiary
000LXL-E,Icahn Associates Holding LLC,Private Company,IS_PARENT_OF,000T97-E,"The Pep Boys - Manny, Moe & Jack LLC",Subsidiary
05HJVM-E,Atlas Copco AB,Public Company,IS_PARENT_OF,000T9D-E,"Perceptron, Inc.",Subsidiary
0LL8BF-E,"PHI Group, Inc. (Louisiana)",Public Company,IS_PARENT_OF,000TBN-E,PHI Aviation LLC,Subsidiary
0016WP-E,Ocwen Financial Corp.,Public Company,IS_PARENT_OF,000TCB-E,PHH Corp.,Subsidiary
0B7QH0-E,Pharaoh Acquisition LLC,Private Company,IS_PARENT_OF,000TDB-E,Phoenix Technologies Ltd.,Subsidiary
06F9DV-E,Duke Energy Corp.,Public Company,IS_PARENT_OF,000TF3-E,"Piedmont Natural Gas Co., Inc.",Subsidiary
06J41J-E,JBS SA,Public Company,IS_PARENT_OF,000TFH-E,Pilgrim's Pride Corp.,Public_Company
000V95-E,"Rayonier, Inc.",Public Company,IS_PARENT_OF,000TK4-E,Pope Resources LP,Subsidiary
0H2YMH-E,Linde Plc,Public Company,IS_PARENT_OF,000TM7-E,"Linde, Inc. (Connecticut)",Subsidiary
000CS1-E,"Berkshire Hathaway, Inc.",Public Company,IS_PARENT_OF,000TMB-E,Precision Castparts Corp.,Subsidiary
002XXL-E,"T. Rowe Price Group, Inc.",Public Company,IS_PARENT_OF,000TNX-E,"T. Rowe Price Associates, Inc. (Investment Management)",Operating_Division
06ZVHH-E,Acacia Research Corp.,Public Company,IS_PARENT_OF,000TRR-E,"Printronix, Inc.",Subsidiary
0010XG-E,"Dai-ichi Life Holdings, Inc.",Public Company,IS_PARENT_OF,000TSV-E,Protective Life Corp.,Subsidiary
001730-E,"Genesee & Wyoming, Inc.",Holding Company,IS_PARENT_OF,000TT3-E,Providence & Worcester Railroad Co.,Subsidiary
0030MN-E,"Xcel Energy, Inc.",Public Company,IS_PARENT_OF,000V1Q-E,Public Service Company of Colorado,Subsidiary
002VYY-E,"PNM Resources, Inc.",Public Company,IS_PARENT_OF,000V1S-E,Public Service Company of New Mexico,Subsidiary
0D7GLM-E,CNH Industrial NV,Public Company,IS_PARENT_OF,000V8V-E,"Raven Industries, Inc.",Subsidiary
0M6FSJ-E,Raytheon Technologies Corp.,Public Company,IS_PARENT_OF,000V98-E,Raytheon Co.,Subsidiary
09SGZ9-E,Authentic Brands Group LLC,Holding Company,IS_PARENT_OF,000VBN-E,Reebok International Ltd.,Subsidiary
06V255-E,Island Capital Group LLC,Private Company,IS_PARENT_OF,000VDR-E,"Resource America, Inc.",Subsidiary
0MQSH0-E,Estate of R Randall Rollins,Trust/Trustee,IS_PARENT_OF,000VLS-E,"RPC, Inc.",Public_Company
0FMYSW-E,"Albertsons Cos., Inc.",Public Company,IS_PARENT_OF,000VNZ-E,"Safeway, Inc.",Subsidiary
080X1R-E,Sbarro Holdings LLC,Private Company,IS_PARENT_OF,000VQZ-E,Sbarro LLC,Subsidiary
000HMG-E,"Dominion Energy, Inc.",Public Company,IS_PARENT_OF,000VRD-E,SCANA Corp.,Subsidiary
00CJL5-E,LyondellBasell Industries NV,Public Company,IS_PARENT_OF,000VS7-E,"Lyondellbasell Advanced Polymers, Inc.",Subsidiary
05G2TN-E,Seaboard Flour LLC,Private Company,IS_PARENT_OF,000VW5-E,Seaboard Corp.,Public_Company
070P2P-E,Blue Jay Acquisition Corp.,Private Company,IS_PARENT_OF,000W98-E,Sequa Corp.,Subsidiary
081GCH-E,Steel Partners Holdings LP,Public Company,IS_PARENT_OF,000WJJ-E,"SL Industries, Inc.",Subsidiary
0JH7DZ-E,"Mavericks, Inc.",Holding Company,IS_PARENT_OF,000WNZ-E,Sonic Corp.,Subsidiary
000HMG-E,"Dominion Energy, Inc.",Public Company,IS_PARENT_OF,000WPB-E,"Dominion Energy South Carolina, Inc.",Subsidiary
000T5Q-E,"Patterson-UTI Energy, Inc.",Public Company,IS_PARENT_OF,000WPK-E,Pioneer Energy Services LLC,Subsidiary
00247H-E,Sempra Energy,Public Company,IS_PARENT_OF,000WQ3-E,Southern California Gas Co.,Subsidiary
000BY1-E,"American Electric Power Co., Inc.",Public Company,IS_PARENT_OF,000WRQ-E,Southwestern Electric Power Co.,Subsidiary
06WSS6-E,Banco Santander SA,Public Company,IS_PARENT_OF,000WRW-E,"Santander Holdings USA, Inc.",Subsidiary
003T5J-E,Savaria Corp.,Public Company,IS_PARENT_OF,000WS1-E,"Span-America Medical Systems, Inc.",Subsidiary
003KHD-E,Elbit Systems Ltd.,Public Company,IS_PARENT_OF,000WS7-E,Sparton Corp.,Subsidiary
000TCK-E,Koninklijke Philips NV,Public Company,IS_PARENT_OF,000WSL-E,Spectranetics LLC,Subsidiary
000BG2-E,Abbott Laboratories,Public Company,IS_PARENT_OF,000WTZ-E,St. Jude Medical LLC,Subsidiary
000WX2-E,State Street Corp.,Public Company,IS_PARENT_OF,000WX1-E,State Street Bank & Trust Co.,Subsidiary
0M20K6-E,Sibanye Stillwater Ltd.,Public Company,IS_PARENT_OF,000WZ0-E,Stillwater Mining Co.,Subsidiary
001BYF-E,"United Natural Foods, Inc.",Public Company,IS_PARENT_OF,000X42-E,"SUPERVALU, Inc.",Subsidiary
000YMC-E,Wabash National Corp.,Public Company,IS_PARENT_OF,000X43-E,"Supreme Industries, Inc.",Subsidiary
0032RQ-E,Allianz SE,Public Company,IS_PARENT_OF,000X6C-E,"The Taiwan Fund, Inc.",Mutual_Fd_Closed_End
002Q59-E,Sumitomo Corp.,Public Company,IS_PARENT_OF,000XJQ-E,TBC Corp.,Subsidiary
05M0BF-E,TD SYNNEX Corp.,Public Company,IS_PARENT_OF,000XKR-E,Tech Data Corp.,Subsidiary
05L9MT-E,Southwire Co. LLC,Private Company,IS_PARENT_OF,000XLC-E,Technology Research Corp.,Subsidiary
0032MZ-E,"Emera, Inc.",Public Company,IS_PARENT_OF,000XLF-E,"TECO Energy, Inc.",Subsidiary
0BDGY2-E,Marathon Petroleum Corp.,Public Company,IS_PARENT_OF,000XNQ-E,Andeavor LLC,Subsidiary
0C8G8G-E,Juniper Investment Co. LLC,Private Company,IS_PARENT_OF,000XPG-E,Theragenics Corp.,Subsidiary
002LGW-E,LVMH Moët Hennessy Louis Vuitton SE,Public Company,IS_PARENT_OF,000XR0-E,Tiffany & Co.,Subsidiary
06NNX7-E,"Fanatics, Inc.",Holding Company,IS_PARENT_OF,000XSH-E,"The Topps Co., Inc.",Subsidiary
00317L-E,"Global Payments, Inc.",Public Company,IS_PARENT_OF,000XSX-E,Total System Services LLC,Subsidiary
0BVJMN-E,"Unilumin Group Co., Ltd.",Public Company,IS_PARENT_OF,000XTM-E,Trans-Lux Corp.,Public_Company
