,,1,2,3,4,5,6,7,
-,ACIA,ACIA US Equity,ACACIA COMMUNICA,"2,861,186,560","509,105,008",10.62,Information Technology,Technology Hardware & Equipment,
-,ACIW,ACIW US Equity,ACI WORLDWIDE IN,"3,632,499,456","1,346,216,000",9.72,Information Technology,Software & Services,
-,HBIO,HBIO US Equity,HARVARD BIOSCIEN,"146,035,056","105,469,000",2.39,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ACM,ACM US Equity,AECOM,"6,292,050,432","14,786,634,240",3.73,Industrials,Capital Goods,
-,NTGR,NTGR US Equity,NETGEAR INC,"975,751,744","1,028,844,016",3.17,Information Technology,Technology Hardware & Equipment,
-,ACN,ACN US Equity,ACCENTURE PLC-A,"146,386,649,088","44,547,417,088",15.58,Information Technology,Software & Services,
-,RVP,RVP US Equity,RETRACTABLE TECH,"276,166,752","45,066,922",4.29,Health Care,Health Care Equipment & Services,
-,ADBE,ADBE US Equity,ADOBE INC,"213,623,717,888","12,045,070,080",32.48,Information Technology,Software & Services,
ADI,ADI,ADI US Equity,ANALOG DEVICES,"43,986,747,392","5,543,986,944",26.12,Information Technology,Semiconductors & Semiconductor Equipment,
-,ADM,ADM US Equity,ARCHER-DANIELS,"24,698,505,216","64,305,999,872",2.79,Consumer Staples,"Food, Beverage & Tobacco",
-,ARNA,ARNA US Equity,ARENA PHARMACEUT,"3,658,851,072","4,614,000",,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,EVC,EVC US Equity,ENTRAVISION CO-A,"113,650,736","249,019,000",-3.54,Communication Services,Media & Entertainment,
-,ADNT,ADNT US Equity,ADIENT PLC,"1,656,120,448","12,994,000,000",-19.50,Consumer Discretionary,Automobiles & Components,
ADP,ADP,ADP US Equity,AUTOMATIC DATA,"60,014,571,520","14,589,799,936",16.11,Information Technology,Software & Services,
-,SAVA,SAVA US Equity,CASSAVA SCIENCES,"83,728,960",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,CYH,CYH US Equity,COMMUNITY HEALTH,"622,018,688","12,076,000,256",11.75,Health Care,Health Care Equipment & Services,
-,ADS,ADS US Equity,ALLIANCE DATA,"2,282,686,720","5,259,699,840",17.84,Information Technology,Software & Services,
ADSK,ADSK,ADSK US Equity,AUTODESK INC,"50,759,385,088","3,424,499,968",14.75,Information Technology,Software & Services,
-,SGMO,SGMO US Equity,SANGAMO THERAPEU,"1,646,739,968","111,438,000",-175.83,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,INSM,INSM US Equity,INSMED INC,"3,001,807,360","163,948,000",-127.34,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,LXRX,LXRX US Equity,LEXICON PHARMACE,"199,216,880","320,337,000",-704.78,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ADSW,ADSW US Equity,ADVANCED DISPOSA,"2,740,897,280","1,587,000,000",7.28,Industrials,Commercial & Professional Services,
-,LMNX,LMNX US Equity,LUMINEX CORP,"1,435,402,112","369,117,000",17.14,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,RIGL,RIGL US Equity,RIGEL PHARMACEUT,"422,322,272","108,039,000",-108.56,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ADT,ADT US Equity,ADT INC,"9,083,766,784","5,299,709,056",3.79,Industrials,Commercial & Professional Services,
-,ADUS,ADUS US Equity,ADDUS HOMECARE,"1,538,141,696","736,972,000",5.20,Health Care,Health Care Equipment & Services,
-,AEIS,AEIS US Equity,ADV ENERGY INDS,"3,055,734,528","1,168,731,008",10.44,Information Technology,Semiconductors & Semiconductor Equipment,
-,ENDP,ENDP US Equity,ENDO INTERNATION,"742,305,728","3,002,218,944",21.85,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,VNRX,VNRX US Equity,VOLITIONRX LTD,"155,782,912","17,640",-1079393.00,Health Care,Health Care Equipment & Services,
-,AEL,AEL US Equity,AMER EQUITY INVT,"2,331,047,936","2,118,446,016",,Financials,Insurance,
-,AEO,AEO US Equity,AMER EAGLE OUTF,"2,020,760,192","3,973,614,080",-64.93,Consumer Discretionary,Retailing,
-,CEMI,CEMI US Equity,CHEMBIO DIAGNOST,"109,477,176","28,542,436",-142.18,Health Care,Health Care Equipment & Services,
-,AFG,AFG US Equity,AMER FINL GROUP,"6,038,436,864","7,479,000,192",12.35,Financials,Insurance,
-,AFL,AFL US Equity,AFLAC INC,"26,819,764,224","21,707,999,744",20.95,Financials,Insurance,
-,AGCO,AGCO US Equity,AGCO CORP,"5,500,395,008","8,558,100,096",4.85,Industrials,Capital Goods,
-,AGNC,AGNC US Equity,AGNC INVESTMENT,"7,582,809,088","852,999,936",96.77,Financials,Diversified Financials,
-,DZSI,DZSI US Equity,DASAN ZHONE SOLU,"249,688,880","267,141,000",2.46,Information Technology,Technology Hardware & Equipment,
-,GAIA,GAIA US Equity,GAIA INC,"217,918,304","59,012,000",-13.74,Communication Services,Media & Entertainment,
-,AGO,AGO US Equity,ASSURED GUARANTY,"2,019,871,744","1,000,000,000",65.32,Financials,Insurance,
-,AHCO,AHCO US Equity,ADAPTHEALTH CORP,"2,135,645,824","529,644,256",5.61,Health Care,Health Care Equipment & Services,
-,AIG,AIG US Equity,AMERICAN INTERNA,"26,652,764,160","48,567,999,488",-98.94,Financials,Insurance,
-,AIMC,AIMC US Equity,ALTRA INDUSTRIAL,"2,632,144,896","1,719,800,000",13.00,Industrials,Capital Goods,
-,AIN,AIN US Equity,ALBANY INTL CORP,"1,731,926,016","990,564,992",23.33,Industrials,Capital Goods,
-,AIT,AIT US Equity,APPLIED INDU TEC,"2,624,334,592","3,245,651,904",6.49,Industrials,Capital Goods,
-,AIZ,AIZ US Equity,ASSURANT INC,"7,424,396,288","10,142,900,224",10.26,Financials,Insurance,
-,AJG,AJG US Equity,ARTHUR J GALLAGH,"20,479,524,864","6,997,500,032",14.00,Financials,Insurance,
-,AJRD,AJRD US Equity,AEROJET ROCKETDY,"3,439,681,024","1,993,300,000",13.47,Industrials,Capital Goods,
-,AKAM,AKAM US Equity,AKAMAI TECHNOLOG,"17,409,419,264","3,041,052,032",23.96,Information Technology,Software & Services,
-,AL,AL US Equity,AIR LEASE C,"3,598,826,752","2,112,194,048",56.94,Industrials,Capital Goods,
-,ALB,ALB US Equity,ALBEMARLE CORP,"9,680,704,512","3,375,204,992",14.68,Materials,Materials,
-,ALG,ALG US Equity,ALAMO GROUP,"1,330,922,624","1,155,100,992",8.44,Industrials,Capital Goods,
ALGN,ALGN,ALGN US Equity,ALIGN TECHNOLOGY,"24,264,722,432","2,160,404,992",-20.72,Health Care,Health Care Equipment & Services,
-,PCTI,PCTI US Equity,PCTEL INC,"119,857,096","83,875,000",5.53,Information Technology,Technology Hardware & Equipment,
-,ALGT,ALGT US Equity,ALLEGIANT TRAVEL,"1,947,293,184","1,440,110,968",-84.93,Industrials,Transportation,
-,NTUS,NTUS US Equity,NATUS MEDICAL,"596,136,064","449,042,000",-14.20,Health Care,Health Care Equipment & Services,
-,ALK,ALK US Equity,ALASKA AIR GROUP,"4,755,184,128","6,673,999,936",-68.41,Industrials,Transportation,
-,SWKH,SWKH US Equity,SWK HOLDINGS,"170,172,944","28,657,000",-7.61,Financials,Diversified Financials,
-,ALKS,ALKS US Equity,ALKERMES PLC,"2,959,803,136","1,161,721,984",-13.60,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ALL,ALL US Equity,ALLSTATE CORP,"30,054,182,912","43,813,999,616",14.51,Financials,Insurance,
-,GHL,GHL US Equity,GREENHILL & CO,"229,648,800","308,618,000",-42.76,Financials,Diversified Financials,
-,EGAN,EGAN US Equity,EGAIN CORP,"348,009,216","70,522,000",9.57,Information Technology,Software & Services,
-,DVAX,DVAX US Equity,DYNAVAX TECHNOLO,"754,534,912","34,732,000",-874.78,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ALLE,ALLE US Equity,ALLEGION PLC,"9,607,956,480","2,732,000,128",16.37,Industrials,Capital Goods,
-,ALLY,ALLY US Equity,ALLY FINANCIAL I,"8,291,707,392","11,183,999,744",18.11,Financials,Diversified Financials,
-,ALRM,ALRM US Equity,ALARM.COM HOLDIN,"2,813,572,608","561,944,000",10.59,Information Technology,Software & Services,
ALSN,ALSN,ALSN US Equity,ALLISON TRANSMIS,"4,395,627,520","2,300,000,000",15.38,Industrials,Capital Goods,
-,ALXN,ALXN US Equity,ALEXION PHARM,"22,526,599,168","5,536,800,128",-94.85,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,AGEN,AGEN US Equity,AGENUS INC,"653,055,872","95,484,000",-181.54,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,IDN,IDN US Equity,INTELLICHECK INC,"126,919,104","9,784,140",-41.77,Information Technology,Technology Hardware & Equipment,
AMAT,AMAT,AMAT US Equity,APPLIED MATERIAL,"60,945,874,944","15,434,999,552",23.55,Information Technology,Semiconductors & Semiconductor Equipment,
-,NEO,NEO US Equity,NEOGENOMICS INC,"4,412,808,192","404,547,000",-21.74,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,PFSW,PFSW US Equity,PFSWEB INC,"172,467,504","312,496,000",0.02,Information Technology,Software & Services,
-,AMCR,AMCR US Equity,AMCOR PLC,"17,617,954,816","11,090,399,744",,Materials,Materials,
-,CLCT,CLCT US Equity,COLLECTORS UNIV,"398,251,264","78,172,000",14.11,Consumer Discretionary,Consumer Services,
-,PLUG,PLUG US Equity,PLUG POWER INC,"4,221,586,432","256,923,000",-38.69,Industrials,Capital Goods,
-,AMCX,AMCX US Equity,AMC NETWORKS-A,"1,302,084,224","2,884,466,944",7.55,Communication Services,Media & Entertainment,
-,HSTM,HSTM US Equity,HEALTHSTREAM INC,"721,863,552","247,270,000",7.11,Health Care,Health Care Equipment & Services,
AMD,AMD,AMD US Equity,ADV MICRO DEVICE,"96,988,823,552","7,646,000,000",8.95,Information Technology,Semiconductors & Semiconductor Equipment,
-,IMMR,IMMR US Equity,IMMERSION CORP,"235,323,520","34,013,000",-18.68,Information Technology,Technology Hardware & Equipment,
-,DRRX,DRRX US Equity,DURECT CORP,"463,332,192","50,067,000",57.09,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,AME,AME US Equity,AMETEK INC,"23,245,484,032","4,795,593,920",22.43,Industrials,Capital Goods,
-,AMED,AMED US Equity,AMEDISYS INC,"7,420,579,840","1,994,833,024",9.83,Health Care,Health Care Equipment & Services,
-,EGOV,EGOV US Equity,NIC INC,"1,505,969,920","362,167,000",19.64,Information Technology,Software & Services,
-,LPSN,LPSN US Equity,LIVEPERSON INC,"3,791,118,336","323,938,000",-15.77,Information Technology,Software & Services,
-,INVA,INVA US Equity,INNOVIVA INC,"1,409,354,752","299,350,000",96.00,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,RGP,RGP US Equity,RESOURCES CONNEC,"409,197,856","703,352,992",4.17,Industrials,Commercial & Professional Services,
-,CIR,CIR US Equity,CIRCOR INTL,"615,514,368","857,968,992",-0.74,Industrials,Capital Goods,
-,AMG,AMG US Equity,AFFIL MANAGERS,"3,402,099,200","2,082,900,032",18.67,Financials,Diversified Financials,
-,AMGN,AMGN US Equity,AMGEN INC,"141,573,898,240","24,301,000,192",37.43,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,AMKR,AMKR US Equity,AMKOR TECH INC,"3,268,143,872","4,587,906,048",7.38,Information Technology,Semiconductors & Semiconductor Equipment,
-,AMN,AMN US Equity,AMN HEALTHCARE,"2,468,259,584","2,365,300,992",6.31,Health Care,Health Care Equipment & Services,
-,SRGA,SRGA US Equity,SURGALIGN HOLDIN,"203,557,712","284,287,000",-43.31,Health Care,Health Care Equipment & Services,
-,AMP,AMP US Equity,AMERIPRISE FINAN,"19,372,908,544","12,458,999,808",-19.80,Financials,Diversified Financials,
-,AMRC,AMRC US Equity,AMERESCO INC-A,"1,492,413,952","954,086,992",5.78,Industrials,Capital Goods,
-,AMRX,AMRX US Equity,AMNEAL PHARMACEU,"1,258,556,160","1,738,806,016",2.31,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,AMWD,AMWD US Equity,AMER WOODMARK CO,"1,535,166,208","1,650,332,992",6.74,Industrials,Capital Goods,
-,AMZN,AMZN US Equity,AMAZON.COM INC,"1,583,933,292,544","321,782,005,760",6.57,Consumer Discretionary,Retailing,
-,VHC,VHC US Equity,VIRNETX HOLDING,"353,871,680","302,633,000",60.54,Information Technology,Software & Services,
-,MEET,MEET US Equity,MEET GROUP INC/T,"453,885,088","255,586,248",15.42,Communication Services,Media & Entertainment,
-,EXTR,EXTR US Equity,EXTREME NETWORKS,"586,917,760","948,019,008",-6.08,Information Technology,Technology Hardware & Equipment,
-,AN,AN US Equity,AUTONATION INC,"5,015,742,464","20,210,099,712",4.44,Consumer Discretionary,Retailing,
-,ANAT,ANAT US Equity,AMERICAN NATIONA,"2,047,191,424","3,520,645,952",23.79,Financials,Insurance,
-,EPAY,EPAY US Equity,BOTTOMLINE TECH,"2,367,526,144","442,221,000",-1.58,Information Technology,Software & Services,
-,GDEN,GDEN US Equity,GOLDEN ENTERTAIN,"332,427,744","768,578,992",-81.55,Consumer Discretionary,Consumer Services,
ANET,ANET,ANET US Equity,ARISTA NETWORKS,"16,439,775,232","2,270,559,936",30.89,Information Technology,Technology Hardware & Equipment,
ANSS,ANSS,ANSS US Equity,ANSYS INC,"26,457,401,344","1,520,772,992",29.25,Information Technology,Software & Services,
-,ANTM,ANTM US Equity,ANTHEM INC,"71,221,600,256","112,965,998,592",11.46,Health Care,Health Care Equipment & Services,
-,AON,AON US Equity,AON PLC-CLASS A,"44,506,980,352","10,980,000,000",23.79,Financials,Insurance,
-,AOS,AOS US Equity,SMITH (A.O.)CORP,"8,072,275,968","2,779,899,968",12.88,Industrials,Capital Goods,
-,APAM,APAM US Equity,ARTISAN PARTNE-A,"3,062,071,552","817,138,992",36.91,Financials,Diversified Financials,
-,APD,APD US Equity,AIR PRODS & CHEM,"63,043,256,320","8,819,400,064",26.11,Materials,Materials,
-,APH,APH US Equity,AMPHENOL CORP-A,"32,758,796,288","8,101,100,160",17.98,Information Technology,Technology Hardware & Equipment,
-,APO,APO US Equity,APOLLO GLOBAL MA,"20,839,768,064","684,543,040",62.89,Financials,Diversified Financials,
-,PAHC,PAHC US Equity,PHIBRO ANIMAL-A,"803,813,184","818,354,016",10.12,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,ATLC,ATLC US Equity,ATLANTICUS HOLDI,"125,504,064","502,668,008",6.00,Financials,Diversified Financials,
-,BCOR,BCOR US Equity,BLUCORA INC,"562,043,904","722,878,992",-2.86,Financials,Diversified Financials,
-,APTV,APTV US Equity,APTIV PLC,"24,167,270,400","12,340,999,936",-15.87,Consumer Discretionary,Automobiles & Components,
-,AQUA,AQUA US Equity,EVOQUA WATER TEC,"2,464,703,232","1,458,063,008",9.51,Industrials,Capital Goods,
-,ARD,ARD US Equity,ARDAGH GROUP SA,"3,592,622,848","6,536,999,936",6.04,Materials,Materials,
-,AXL,AXL US Equity,AMER AXLE & MFG,"919,776,704","4,966,200,096",-39.90,Consumer Discretionary,Automobiles & Components,
-,FNHC,FNHC US Equity,FEDNAT HOLDING C,"140,868,640","458,181,000",-23.00,Financials,Insurance,
-,ARES,ARES US Equity,ARES MANAGEM- A,"10,328,072,192","1,957,111,968",37.41,Financials,Diversified Financials,
-,ETM,ETM US Equity,ENTERCOM COMM-A,"212,526,928","1,273,157,024",-25.73,Communication Services,Media & Entertainment,
-,ARGO,ARGO US Equity,ARGO GROUP INTER,"1,263,895,040","1,865,400,000",2.74,Financials,Insurance,
-,ARMK,ARMK US Equity,ARAMARK,"6,395,223,552","14,088,652,800",-15.22,Consumer Discretionary,Consumer Services,
ARW,ARW,ARW US Equity,ARROW ELECTRONIC,"5,930,676,736","27,404,218,880",2.98,Information Technology,Technology Hardware & Equipment,
-,ASGN,ASGN US Equity,ASGN INC,"3,834,599,936","3,955,200,000",8.11,Industrials,Commercial & Professional Services,
-,ASH,ASH US Equity,ASHLAND GLOBAL H,"4,732,421,120","2,326,000,000",8.36,Materials,Materials,
-,SP,SP US Equity,SP PLUS CORP,"432,646,496","1,453,200,000",-23.50,Industrials,Commercial & Professional Services,
-,ALSK,ALSK US Equity,ALASKA COMM SYS,"120,753,128","235,112,000",10.18,Communication Services,Telecommunication Services,
-,ASTE,ASTE US Equity,ASTEC INDUSTRIES,"1,251,527,168","1,093,178,016",4.09,Industrials,Capital Goods,
-,ATGE,ATGE US Equity,ADTALEM GLOBAL E,"1,866,960,000","1,122,566,016",20.07,Consumer Discretionary,Consumer Services,
-,MSTR,MSTR US Equity,MICROSTRATEGY,"1,327,393,664","475,232,000",5.72,Information Technology,Software & Services,
-,ATH,ATH US Equity,ATHENE HOLDING-A,"7,078,496,256","10,606,000,384",24.58,Financials,Insurance,
-,ATI,ATI US Equity,ALLEGHENY TECH,"1,181,907,200","3,763,100,096",-35.49,Materials,Materials,
-,ATKR,ATKR US Equity,ATKORE INTERNATI,"1,515,628,032","1,789,711,040",10.82,Industrials,Capital Goods,
-,ATR,ATR US Equity,APTARGROUP INC,"7,613,711,872","2,793,469,056",10.08,Materials,Materials,
-,ATSG,ATSG US Equity,AIR TRANSPORT SE,"1,644,081,792","1,536,494,976",6.14,Industrials,Transportation,
-,OSPN,OSPN US Equity,ONESPAN INC,"759,798,336","262,174,000",-3.07,Information Technology,Software & Services,
-,HCKT,HCKT US Equity,HACKETT GROUP,"414,239,904","264,080,000",-9.63,Information Technology,Software & Services,
-,ATUS,ATUS US Equity,ALTICE USA INC-A,"15,863,064,576","9,838,445,824",20.55,Communication Services,Media & Entertainment,
-,HZO,HZO US Equity,MARINEMAX INC,"669,607,360","1,419,087,008",9.76,Consumer Discretionary,Retailing,
-,ATVI,ATVI US Equity,ACTIVISION BLIZZ,"63,069,667,328","6,988,000,000",38.77,Communication Services,Media & Entertainment,
AVGO,AVGO,AVGO US Equity,BROADCOM INC,"134,185,099,264","22,890,999,808",13.34,Information Technology,Semiconductors & Semiconductor Equipment,
-,PAYS,PAYS US Equity,PAYSIGN INC,"488,687,232","37,985,836",13.15,Information Technology,Software & Services,
-,CIX,CIX US Equity,COMPX INTL INC,"173,942,656","115,414,000",9.95,Industrials,Commercial & Professional Services,
-,HSII,HSII US Equity,HEIDRICK & STRUG,"414,695,648","693,849,008",-16.22,Industrials,Commercial & Professional Services,
-,CRAI,CRAI US Equity,CRA INTERNATIONA,"358,979,776","484,137,000",6.78,Industrials,Commercial & Professional Services,
-,CLAR,CLAR US Equity,CLARUS CORP,"394,225,344","204,794,000",-13.45,Consumer Discretionary,Consumer Durables & Apparel,
-,RMTI,RMTI US Equity,ROCKWELL MEDICAL,"118,100,328","62,650,083",-50.80,Health Care,Health Care Equipment & Services,
-,AVNS,AVNS US Equity,AVANOS MEDICAL I,"1,568,875,008","705,300,000",-1.10,Health Care,Health Care Equipment & Services,
-,AVNT,AVNT US Equity,AVIENT CORP,"2,488,906,496","2,684,500,032",6.24,Materials,Materials,
-,MRKR,MRKR US Equity,MARKER THERAPEUT,"88,107,328","679,979",-1361.99,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
AVT,AVT,AVT US Equity,AVNET INC,"2,841,929,216","17,634,332,672",0.05,Information Technology,Technology Hardware & Equipment,
-,AVTR,AVTR US Equity,AVANTOR INC,"12,090,635,264","6,040,300,032",9.14,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,AVY,AVY US Equity,AVERY DENNISON,"10,053,851,136","6,785,800,064",8.08,Materials,Materials,
-,DENN,DENN US Equity,DENNY'S CORP,"649,831,360","374,950,000",-33.68,Consumer Discretionary,Consumer Services,
-,AVYA,AVYA US Equity,AVAYA HOLDINGS C,"1,316,030,848","2,841,000,000",7.35,Information Technology,Software & Services,
-,AWI,AWI US Equity,ARMSTRONG WORLD,"3,642,576,640","975,900,000",30.71,Industrials,Capital Goods,
-,AXP,AXP US Equity,AMERICAN EXPRESS,"81,868,783,616","43,274,999,808",8.10,Financials,Diversified Financials,
-,AXS,AXS US Equity,AXIS CAPITAL,"3,878,949,376","4,940,732,928",11.99,Financials,Insurance,
-,SRDX,SRDX US Equity,SURMODICS INC,"646,475,136","103,137,000",4.33,Health Care,Health Care Equipment & Services,
-,AXTA,AXTA US Equity,AXALTA COATING S,"5,726,307,328","3,841,600,128",-9.88,Materials,Materials,
-,AYI,AYI US Equity,ACUITY BRANDS,"4,304,620,032","3,373,200,000",10.69,Industrials,Capital Goods,
-,AZO,AZO US Equity,AUTOZONE INC,"27,759,581,184","12,074,435,072",17.69,Consumer Discretionary,Retailing,
-,AZPN,AZPN US Equity,ASPEN TECHNOLOGY,"6,616,793,600","590,181,008",57.03,Information Technology,Software & Services,
-,B,B US Equity,BARNES GROUP INC,"2,101,541,376","1,308,966,016",4.29,Industrials,Capital Goods,
-,BA,BA US Equity,BOEING CO/THE,"99,026,886,656","66,605,998,080",-25.10,Industrials,Capital Goods,
-,AI,AI US Equity,ARLINGTON ASSE-A,"99,446,552","3,589,000",,Financials,Diversified Financials,
-,ELOX,ELOX US Equity,ELOXX PHARMACEUT,"134,059,896",0,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,BAH,BAH US Equity,BOOZ ALLEN HAMIL,"11,812,428,800","7,595,117,952",9.81,Information Technology,Software & Services,
BAX,BAX,BAX US Equity,BAXTER INTL INC,"42,260,226,048","11,410,000,128",12.18,Health Care,Health Care Equipment & Services,
BBBY,BBBY,BBBY US Equity,BED BATH &BEYOND,"1,543,482,624","9,893,038,080",-35.25,Consumer Discretionary,Retailing,
-,BBY,BBY US Equity,BEST BUY CO INC,"27,117,283,328","43,057,999,872",2.67,Consumer Discretionary,Retailing,
-,PETS,PETS US Equity,PETMED EXPRESS,"651,341,696","300,341,000",9.81,Consumer Discretionary,Retailing,
-,SIGA,SIGA US Equity,SIGA TECH INC,"565,594,688","55,343,931",71.37,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",
-,BC,BC US Equity,BRUNSWICK CORP,"5,018,855,936","3,847,500,032",10.83,Consumer Discretionary,Consumer Durables & Apparel,
-,BCC,BCC US Equity,BOISE CASCADE CO,"1,798,732,800","4,784,530,944",4.17,Materials,Materials,
-,SRI,SRI US Equity,STONERIDGE INC,"629,983,680","676,261,992",-26.95,Consumer Discretionary,Automobiles & Components,
-,BCO,BCO US Equity,BRINK'S CO/THE,"2,465,913,600","3,563,000,000",-0.12,Industrials,Commercial & Professional Services,
-,BCPC,BCPC US Equity,BALCHEM CORP,"3,324,124,160","672,913,024",15.53,Materials,Materials,
-,BDC,BDC US Equity,BELDEN INC,"1,626,646,400","2,058,343,040",4.03,Information Technology,Technology Hardware & Equipment,
-,BDX,BDX US Equity,BECTON DICKINSON,"74,559,987,712","16,916,999,936",9.29,Health Care,Health Care Equipment & Services,
-,BE,BE US Equity,BLOOM ENERGY C-A,"1,751,033,472","695,243,016",-15.70,Industrials,Capital Goods,
-,FARO,FARO US Equity,FARO TECH,"1,097,162,112","334,736,000",-19.75,Information Technology,Technology Hardware & Equipment,
-,BECN,BECN US Equity,BEACON ROOFING S,"2,157,245,440","6,956,015,872",4.18,Industrials,Capital Goods,
-,BEN,BEN US Equity,FRANKLIN RES INC,"10,902,799,360","5,391,600,000",21.35,Financials,Diversified Financials,
-,BERY,BERY US Equity,BERRY GLOBAL GRO,"7,201,505,792","11,720,000,256",11.92,Materials,Materials,
-,BF/A,BF/A US Equity,BROWN-FORMAN -A,"33,017,214,976","3,363,000,000",26.38,Consumer Staples,"Food, Beverage & Tobacco",
-,BF/B,BF/B US Equity,BROWN-FORMAN -B,"33,017,214,976","3,363,000,000",26.38,Consumer Staples,"Food, Beverage & Tobacco",
