from_name,from_entity_type,to_name,to_entity_type,from_id,to_id
Other Commercial Electronics Manufacturing,RBICS_IG,Commercial Electronics,RBICS_IG,55151035,551510
General Consumer Electronics Manufacturing,RBICS_IG,Consumer Electronics,RBICS_IG,55152535,551525
Diversified Agriculture Production,RBICS_IG,Agriculture,RBICS_IG,50151020,501510
Multi-National Water Utilities,RBICS_IG,Water Utilities,RBICS_IG,65101520,651015
Recreational Goods,RBICS_IG,Leisure Goods Products,RBICS_IG,20101515,201015
Electronics Manufacturing Equipment,RBICS_IG,Electronic Equipment Manufacturing,RBICS_IG,55102510,551025
Diversified Electronic Media Services,RBICS_IG,Internet and Data Services,RBICS_IG,55201015,552010
Other Metal Product Manufacturing,RBICS_IG,Metal Products,RBICS_IG,45151015,451510
Finance/Banking Industry Electronics Production,RBICS_IG,Commercial Electronics,RBICS_IG,55151020,551510
Other Forestry and Paper Products Manufacturing,RBICS_IG,Forestry and Paper Products,RBICS_IG,45201015,452010
Mixed Home Improvement and Furnishings Stores,RBICS_IG,Home Improvement Retail,RBICS_IG,20252020,202520
Pan-Europe Mixed Telecommunications Services,RBICS_IG,Other Telecommunications Services,RBICS_IG,60101060,601010
Weight Management Biopharmaceuticals,RBICS_IG,Other Biopharmaceuticals,RBICS_IG,35101535,351015
General Transportation Equipment Manufacturing,RBICS_IG,Transportation Equipment Manufacturing,RBICS_IG,40102515,401025
Equity REITs,RBICS_IG,Real Estate Investment Trusts (REITs),RBICS_IG,30252015,302520
Virtual Reality Equipment,RBICS_IG,Consumer Electronics,RBICS_IG,55152545,551525
Diversified Satellite Services,RBICS_IG,Other Telecommunications Services,RBICS_IG,60101015,601010
Middle East and Africa Mixed Telecom Services,RBICS_IG,Other Telecommunications Services,RBICS_IG,60101065,601010
Cigarette Manufacturing,RBICS_IG,Tobacco Production,RBICS_IG,50152010,501520
General Metal and Mineral Product Manufacturing,RBICS_IG,Mixed Metal and Mineral Products,RBICS_IG,45152010,451520
General Food and Beverage Retail,RBICS_IG,Food and Beverage Retail,RBICS_IG,50101015,501010
Healthcare Services,RBICS_IG,Healthcare,RBICS_IG,3515,35
Biopharmaceuticals,RBICS_IG,Healthcare,RBICS_IG,3510,35
Specialty Finance and Services,RBICS_IG,Finance,RBICS_IG,3030,30
Hospitality Services,RBICS_IG,Consumer Services,RBICS_IG,1510,15
Real Estate,RBICS_IG,Finance,RBICS_IG,3025,30
Software and Consulting,RBICS_IG,Technology,RBICS_IG,5520,55
Mining and Mineral Products,RBICS_IG,Non-Energy Materials,RBICS_IG,4515,45
"Chemical, Plastic and Rubber Materials",RBICS_IG,Non-Energy Materials,RBICS_IG,4510,45
Industrial Services,RBICS_IG,Industrials,RBICS_IG,4015,40
Downstream and Midstream Energy,RBICS_IG,Energy,RBICS_IG,2515,25
Banking,RBICS_IG,Finance,RBICS_IG,3010,30
Investment Services,RBICS_IG,Finance,RBICS_IG,3020,30
Insurance,RBICS_IG,Finance,RBICS_IG,3015,30
Upstream Energy,RBICS_IG,Energy,RBICS_IG,2510,25
Food and Tobacco Production,RBICS_IG,Consumer Non-Cyclicals,RBICS_IG,5015,50
Consumer Retail,RBICS_IG,Consumer Cyclicals,RBICS_IG,2025,20
Industrial Manufacturing,RBICS_IG,Industrials,RBICS_IG,4010,40
Hardware,RBICS_IG,Technology,RBICS_IG,5515,55
Healthcare Equipment,RBICS_IG,Healthcare,RBICS_IG,3520,35
Manufactured Products,RBICS_IG,Non-Energy Materials,RBICS_IG,4520,45
Food and Staples Retail,RBICS_IG,Consumer Non-Cyclicals,RBICS_IG,5010,50
Corporate or Other Unallocated Revenue,RBICS_IG,Other,RBICS_IG,9010,90
General or Multi-Industry Revenue,RBICS_IG,Other,RBICS_IG,9015,90
Household Services,RBICS_IG,Consumer Non-Cyclicals,RBICS_IG,5025,50
Household Products,RBICS_IG,Consumer Non-Cyclicals,RBICS_IG,5020,50
Media and Publishing Services,RBICS_IG,Consumer Services,RBICS_IG,1515,15
Consumer Goods,RBICS_IG,Consumer Cyclicals,RBICS_IG,2010,20
Consumer Vehicles and Parts,RBICS_IG,Consumer Cyclicals,RBICS_IG,2020,20
Electronic Components and Manufacturing,RBICS_IG,Technology,RBICS_IG,5510,55
Miscellaneous Retail,RBICS_IG,Consumer Cyclicals,RBICS_IG,2015,20
Commercial Property Owners,RBICS_IG,Property Owners,RBICS_IG,302515151015,30251515
Security Systems Services,RBICS_IG,Security Services,RBICS_IG,101020151020,10102015
Residential Real Estate Services and Brokerage,RBICS_IG,Other Real Estate Investment and Services,RBICS_IG,302515101520,30251510
General Information Technology (IT) Consulting,RBICS_IG,Information Technology Consulting,RBICS_IG,552020201025,55202020
Development and Design Services,RBICS_IG,Internet Support Services,RBICS_IG,552010251010,55201025
Professional/Contractor Suppliers,RBICS_IG,Building Materials Distribution,RBICS_IG,401520251015,40152025
Commercial and Residential Property Owners,RBICS_IG,Property Owners,RBICS_IG,302515151010,30251515
Real Estate and Construction Industry Software,RBICS_IG,Other Real Estate Investment and Services,RBICS_IG,302515101515,30251510
United States Video and Television Services,RBICS_IG,Other United States Telecommunications Services,RBICS_IG,601010251015,60101025
Europe Coal Mining,RBICS_IG,Other International Coal Mining,RBICS_IG,251010201015,25101020
Business Intelligence/Data Warehousing Consulting,RBICS_IG,Information Technology Consulting,RBICS_IG,552020201015,55202020
Telecommunications Operations Support Software,RBICS_IG,Telecommunications Industry Software,RBICS_IG,601010351025,60101035
Africa Coal Mining,RBICS_IG,Other International Coal Mining,RBICS_IG,251010201010,25101020
Life Insurance,RBICS_IG,Life and Health Insurance,RBICS_IG,301510151025,30151015
E-Commerce Service Providers,RBICS_IG,Internet Support Services,RBICS_IG,552010251015,55201025
Spirits Stores,RBICS_IG,Beverage and Specialty Foods Stores,RBICS_IG,501010101015,50101010
Annuities,RBICS_IG,Life and Health Insurance,RBICS_IG,301510151010,30151015
Diversified Real Estate Investment and Services,RBICS_IG,Other Real Estate Investment and Services,RBICS_IG,302515101510,30251510
Multi-Tactic Enterprise Solutions Consulting,RBICS_IG,Information Technology Consulting,RBICS_IG,552020201030,55202020
Diversified Consumer Vehicle Manufacturing,RBICS_IG,Consumer Vehicle Manufacturing,RBICS_IG,202010151510,20201015
Pet and Pet Supply Stores,RBICS_IG,Pet and Pet Supply Retail,RBICS_IG,201515251010,20151525
Residential Property Owners,RBICS_IG,Property Owners,RBICS_IG,302515151020,30251515
Office Supplies and Stationery Stores,RBICS_IG,Office Supplies and Stationery Retail,RBICS_IG,201515201010,20151520
Internet Office Supplies Retail,RBICS_IG,Office Supplies and Stationery Retail,RBICS_IG,201515201015,20151520
Multiple Industry-Specific Software,RBICS_IG,Industry-Specific Software,RBICS_IG,552015301010,55201530
Diversified Life and Health Insurance,RBICS_IG,Life and Health Insurance,RBICS_IG,301510151020,30151015
Customer Relationship Management (CRM) Consulting,RBICS_IG,Information Technology Consulting,RBICS_IG,552020201020,55202020
